id;name;description;location;type
1;approach;Key Namibia Account;Tools Dollar;Granite Representative
2;Money mint;reinvent teal;composite Nigeria Metal;Bypass cross-platform invoice
3;Ouguiya;synergy;monitoring;Metal
4;world-class Communications digital;green Administrator;Future;connect SDD empowering
5;Central Enhanced;Customer Security;Terrace Square;Identity
6;network Gorgeous;Functionality;Response Handcrafted;solid
7;Research Granite;Borders Chips compress;Strategist;invoice
8;Granite;connect Salad;Organized;Arizona
9;Accountability;Cambridgeshire payment;Plastic JBOD virtual;infomediaries Tools intangible
10;disintermediate;Practical Diverse;harness;Engineer Berkshire eco-centric
